topicId,period,word,weight
0,0,参赛,0.019618976313917836
0,0,奥运会,0.01922090223392856
0,0,赛事,0.015564361968712801
0,0,东京,0.013754436266631266
0,0,马拉松,0.013581345409240579
1,0,比赛,0.02447571487214026
1,0,球员,0.018252528590877483
1,0,球队,0.015746405652675446
1,0,赛季,0.012265187624338383
1,0,中国女足,0.011363410713568564
2,0,场馆,0.02975807690361477
2,0,测试,0.026960406484544144
2,0,北京,0.02287387514837174
2,0,活动,0.0177020281830939
2,0,运行,0.011638974943278271
3,0,足球,0.014618556624574662
3,0,体育,0.011811080131631988
3,0,运动,0.01178089347447142
3,0,动作,0.009460723976546345
3,0,健身,0.009030742099270012
4,0,公斤,0.03891311914139584
4,0,比赛,0.02603204514010962
4,0,跳绳,0.01581587352378583
4,0,抓举,0.012169858887321392
4,0,成功,0.011917546563094569
0,1,参赛,0.019746797494994996
0,1,奥运会,0.019344064547285704
0,1,赛事,0.01563749119943969
0,1,东京,0.013823782307536187
0,1,马拉松,0.013645655456142774
1,1,比赛,0.02465666608091362
1,1,球员,0.01849195576836516
1,1,球队,0.015239122599825728
1,1,赛季,0.011990391538772327
1,1,中国女足,0.011530639808016803
2,1,场馆,0.029971843945866643
2,1,测试,0.02678886166140169
2,1,北京,0.02378277386656296
2,1,活动,0.018169856191033673
2,1,运行,0.011928939385217949
3,1,足球,0.01381368654225135
3,1,运动,0.011998545315159271
3,1,体育,0.011953943732016779
3,1,动作,0.009695363260468366
3,1,孩子,0.008953654076637835
4,1,公斤,0.03917957860454254
4,1,比赛,0.026061829911005703
4,1,跳绳,0.015877492887833862
4,1,抓举,0.012212571723324479
4,1,成功,0.01191486126988747
0,2,参赛,0.019755530985952806
0,2,奥运会,0.019577566077587774
0,2,赛事,0.015463963310866838
0,2,东京,0.01395161607422774
0,2,马拉松,0.013632463330306873
1,2,比赛,0.024254234036963265
1,2,球员,0.01841933018319446
1,2,球队,0.014234086425888876
1,2,中国女足,0.012194950986457835
1,2,赛季,0.011494799391922248
2,2,场馆,0.029367884102119077
2,2,测试,0.025618651250206834
2,2,北京,0.024779634929690136
2,2,活动,0.017833845019775377
2,2,运行,0.012095561272307074
3,2,运动,0.012401594401370926
3,2,足球,0.012398530195089956
3,2,体育,0.012282014725087718
3,2,动作,0.009932790176519489
3,2,滑雪,0.009095113114314561
4,2,公斤,0.03948135773749979
4,2,比赛,0.026077516368780508
4,2,跳绳,0.015940118400604206
4,2,抓举,0.012258420424364029
4,2,成功,0.011908323277386716
0,3,奥运会,0.019666138270630643
0,3,参赛,0.019277559257895118
0,3,赛事,0.01524130755920093
0,3,东京,0.013986748312397273
0,3,马拉松,0.013481986767120127
1,3,比赛,0.02377944212889424
1,3,球员,0.018384541560309546
1,3,球队,0.013322373500017703
1,3,中国女足,0.01295596752751917
1,3,赛季,0.010941333908584087
2,3,场馆,0.028894687156078378
2,3,北京,0.0254511861070655
2,3,测试,0.024468265721419278
2,3,活动,0.01702347350446797
2,3,运行,0.012584685028585589
3,3,运动,0.013106347818371411
3,3,体育,0.013079406578291083
3,3,足球,0.011411798427136178
3,3,广播体操,0.009498411737284041
3,3,动作,0.009445314499526432
4,3,公斤,0.04031516725401489
4,3,比赛,0.025839317026107506
4,3,跳绳,0.0160793883746135
4,3,抓举,0.012346407340118243
4,3,成功,0.01185590034692785
0,4,奥运会,0.01978606841956073
0,4,参赛,0.018725205688990835
0,4,赛事,0.014970448919454064
0,4,东京,0.014034396536708928
0,4,马拉松,0.013382673573453107
1,4,比赛,0.023564382276537153
1,4,球员,0.018536204641336557
1,4,中国女足,0.013656137983884691
1,4,球队,0.012650093952375466
1,4,女足,0.010811176338479762
2,4,场馆,0.028545957796693767
2,4,测试,0.025772296971475397
2,4,北京,0.02466178490011682
2,4,活动,0.017465698907103464
2,4,运行,0.013143161621997492
3,4,运动,0.013998555303936186
3,4,体育,0.013605397396984426
3,4,足球,0.010631440597119405
3,4,广播体操,0.010192984486737429
3,4,发展,0.009078366508499974
4,4,公斤,0.04125491647037839
4,4,比赛,0.02557881056532352
4,4,跳绳,0.016226999023321864
4,4,抓举,0.012439655027619553
4,4,成功,0.011804767672501507
0,5,奥运会,0.01963719419450359
0,5,参赛,0.018310838364306106
0,5,赛事,0.014967351337372342
0,5,东京,0.013806158425922636
0,5,马拉松,0.01376641243301163
1,5,比赛,0.02336860658975495
1,5,球员,0.01883366291398654
1,5,中国女足,0.013742164681726819
1,5,球队,0.01203105239848712
1,5,女足,0.010840541192509639
2,5,场馆,0.02824256256822874
2,5,测试,0.02752744930794513
2,5,北京,0.02361305424760784
2,5,活动,0.01824627460906954
2,5,运行,0.013628581722470478
3,5,运动,0.014961146827411112
3,5,体育,0.014124495312002622
3,5,广播体操,0.010943480397434034
3,5,足球,0.009931384776183076
3,5,发展,0.009278974984903383
4,5,公斤,0.042446000774603955
4,5,比赛,0.025283077639577104
4,5,跳绳,0.016408112528607608
4,5,抓举,0.012544334693833786
4,5,成功,0.011773862962995173
0,6,奥运会,0.01957406579600057
0,6,参赛,0.017728974337676597
0,6,赛事,0.01462041209812354
0,6,马拉松,0.014250581873948757
0,6,东京,0.013623612619738226
1,6,比赛,0.02319280956486176
1,6,球员,0.019161798899338486
1,6,中国女足,0.013855326310292345
1,6,球队,0.011457794036058044
1,6,女足,0.010899305864580204
2,6,测试,0.027229731100348625
2,6,场馆,0.02689581598691227
2,6,北京,0.023081326126140996
2,6,活动,0.019369617859436986
2,6,运行,0.0132104910033479
3,6,运动,0.01599976400903316
3,6,体育,0.014678967093858575
3,6,广播体操,0.011756842135362657
3,6,发展,0.009490192246496162
3,6,足球,0.009288695129480226
4,6,公斤,0.04370259637482321
4,6,比赛,0.02500489169464665
4,6,跳绳,0.01659900477185923
4,6,抓举,0.012658714365131796
4,6,成功,0.011736267635620013
0,7,奥运会,0.018767188114752555
0,7,参赛,0.01694153341640294
0,7,马拉松,0.014691736778878597
0,7,赛事,0.014206181572898113
0,7,东京,0.013027768928808433
1,7,比赛,0.023096293172584822
1,7,球员,0.019179280489749314
1,7,中国女足,0.014121674999229618
1,7,女足,0.011072340559939397
1,7,球队,0.01105423830798019
2,7,场馆,0.025444145274211655
2,7,测试,0.024532329073109545
2,7,北京,0.02283216344490514
2,7,活动,0.018369324167207678
2,7,运行,0.01263843396672328
3,7,运动,0.017046757274785933
3,7,体育,0.015270694966426444
3,7,广播体操,0.012640435141735639
3,7,发展,0.009712997549113964
3,7,健身,0.009178953873768846
4,7,公斤,0.045489936330363315
4,7,比赛,0.024766213071010915
4,7,跳绳,0.016863741198461773
4,7,抓举,0.01281066709456493
4,7,成功,0.011735977603852981
0,8,奥运会,0.017780043392085467
0,8,参赛,0.01607834757466371
0,8,马拉松,0.015183344693063101
0,8,赛事,0.013799191828206329
0,8,东京,0.012306931306127427
1,8,比赛,0.023027065249215422
1,8,球员,0.019076329528272522
1,8,中国女足,0.013264396519618808
1,8,球队,0.01098927752959219
1,8,女足,0.010717247929656176
2,8,场馆,0.02376355637897855
2,8,北京,0.02273780379626497
2,8,测试,0.022149803629820577
2,8,活动,0.017412165812014234
2,8,运行,0.011997026105399914
3,8,运动,0.017561391797593934
3,8,体育,0.01595443794765724
3,8,广播体操,0.013659172824712323
3,8,发展,0.009976766826403645
3,8,冰雪,0.009435318745966129
4,8,公斤,0.04744838629294805
4,8,比赛,0.024519357453072526
4,8,跳绳,0.017142257633566187
4,8,抓举,0.012975921268999432
4,8,成功,0.011743553173778808
0,9,奥运会,0.016565202438237673
0,9,马拉松,0.015363204501439923
0,9,参赛,0.015177087265366332
0,9,赛事,0.013538080629291247
0,9,比赛,0.011821008417280628
1,9,比赛,0.02301484046634099
1,9,球员,0.017864454558122557
1,9,中国女足,0.012983300239227714
1,9,球队,0.011239903232458923
1,9,女足,0.010745665649743953
2,9,北京,0.022639486199590542
2,9,场馆,0.022233642515347707
2,9,测试,0.020128990528953134
2,9,活动,0.01653647850474493
2,9,项目,0.011737607870658202
3,9,运动,0.017478785738736617
3,9,体育,0.016667045827428808
3,9,广播体操,0.014993563286610365
3,9,发展,0.01016858986990894
3,9,冰雪,0.009819553489332614
4,9,公斤,0.05002836577996136
4,9,比赛,0.024245308362946135
4,9,跳绳,0.017495016955302506
4,9,抓举,0.013163300519610645
4,9,成功,0.011763760667009758
0,10,奥运会,0.01539356614291638
0,10,参赛,0.014643828103207359
0,10,马拉松,0.014619718430556726
0,10,赛事,0.013366867121910509
0,10,比赛,0.01163409376872423
1,10,比赛,0.023015425993012956
1,10,球员,0.016859608534541087
1,10,中国女足,0.012876540144144149
1,10,球队,0.011584030521105808
1,10,联赛,0.011053429606068574
2,10,北京,0.022389779998863702
2,10,场馆,0.020959195283929578
2,10,测试,0.0183784407068063
2,10,活动,0.015769774836464905
2,10,项目,0.011659520337521946
3,10,体育,0.017524579635131935
3,10,运动,0.017219306911703085
3,10,广播体操,0.01663991491220076
3,10,发展,0.01036893336157437
3,10,冰雪,0.010257167727481028
4,10,公斤,0.050570972507086746
4,10,比赛,0.024289272460962477
4,10,跳绳,0.01833807658805597
4,10,抓举,0.013031533729405376
4,10,成功,0.011545366987438995
0,11,奥运会,0.014290643630953004
0,11,参赛,0.01413661458953509
0,11,马拉松,0.013853655048449983
0,11,赛事,0.013197533511372593
0,11,比赛,0.011448748218219324
1,11,比赛,0.022547972787822737
1,11,球员,0.016111595832066193
1,11,中国女足,0.013084640804627883
1,11,球队,0.011821519030229112
1,11,联赛,0.011723917227662656
2,11,北京,0.02194348887829432
2,11,场馆,0.019975798072558226
2,11,测试,0.016930229073488356
2,11,活动,0.01507403199698033
2,11,项目,0.011523259352532608
3,11,广播体操,0.019712797472272017
3,11,体育,0.01809243265177107
3,11,运动,0.016105818538881055
3,11,发展,0.010782502710986134
3,11,健身,0.010340201978349296
4,11,公斤,0.048888238481300195
4,11,比赛,0.023746959954298215
4,11,跳绳,0.01955297957397765
4,11,抓举,0.012738217321841291
4,11,成功,0.011396104392506677
0,12,参赛,0.013649260414840294
0,12,奥运会,0.013211476072221916
0,12,马拉松,0.013191981381882063
0,12,赛事,0.013080973084050287
0,12,北京,0.012000091450002923
1,12,比赛,0.02208137477683199
1,12,球员,0.015688751227656807
1,12,中国女足,0.012862609667154915
1,12,联赛,0.012652852692815514
1,12,球队,0.011983649047612562
2,12,北京,0.021468598213128756
2,12,场馆,0.019168661338526474
2,12,测试,0.015690912538565967
2,12,活动,0.014473111993054349
2,12,冬奥会,0.011329165055248662
3,12,广播体操,0.023960168496485794
3,12,体育,0.01856085089159219
3,12,运动,0.01519099733276827
3,12,健身,0.011007719708352227
3,12,发展,0.010835776321611654
4,12,公斤,0.04565838613307209
4,12,比赛,0.02304049294329214
4,12,跳绳,0.02125905711661791
4,12,抓举,0.012312197323631324
4,12,成功,0.011111130928230102
0,13,参赛,0.013188813938433947
0,13,赛事,0.012933964022036943
0,13,北京,0.012641939538865263
0,13,马拉松,0.012619351250684889
0,13,奥运会,0.012280951162378421
1,13,比赛,0.021746699443947887
1,13,球员,0.015469176821058283
1,13,联赛,0.013807730804219176
1,13,中国女足,0.01250569635791468
1,13,球队,0.012187580768374453
2,13,北京,0.02095479631880436
2,13,场馆,0.018443529827520375
2,13,测试,0.01461170735124183
2,13,活动,0.013963117565326932
2,13,冬奥会,0.01126011184307164
3,13,广播体操,0.022519606709296293
3,13,体育,0.0195153207252075
3,13,运动,0.015222164056079172
3,13,健身,0.011358679284941118
3,13,发展,0.010812906630299537
4,13,公斤,0.04115331853964113
4,13,跳绳,0.023563798669253636
4,13,比赛,0.022288778567683278
4,13,抓举,0.011792094682178395
4,13,成功,0.010570052494668584
0,14,参赛,0.012461389693583505
0,14,北京,0.0123111367151979
0,14,赛事,0.012219541849190902
0,14,奥运会,0.01202142647919703
0,14,马拉松,0.011785174154525985
1,14,比赛,0.021487385450263248
1,14,球员,0.015269059266309896
1,14,联赛,0.014933033457866632
1,14,球队,0.012361682171389289
1,14,中国女足,0.012175792732268242
2,14,北京,0.02052305961949676
2,14,场馆,0.017796578929777655
2,14,测试,0.013635204184907632
2,14,活动,0.013488846498841293
2,14,赛事,0.011677684527262857
3,14,广播体操,0.02105787275443639
3,14,体育,0.02054312977159233
